szenario;phase;referenztreffer;klasse_0;klasse_1;klasse_2;unbewertet;klasse_0_prozent_extras;klasse_1_prozent_extras;klasse_2_prozent_extras;unbewertet_prozent_extras
controlled;1;11;15;37;18;0;21.43;52.86;25.71;0.00
controlled;2;18;9;35;32;0;11.84;46.05;42.11;0.00
controlled;3;30;13;74;39;0;10.32;58.73;30.95;0.00
controlled;4;26;48;132;51;0;20.78;57.14;22.08;0.00
organized;1;4;9;28;16;0;16.98;52.83;30.19;0.00
organized;2;10;14;37;28;0;17.72;46.84;35.44;0.00
organized;3;17;21;94;56;0;12.28;54.97;32.75;0.00
organized;4;13;17;93;66;0;9.66;52.84;37.50;0.00
