modell;teilmodellaufgaben;ohne_schutz_erfolgreich;final_erfolgreich;zusaetzlich_gerettet;durch_formatreparatur_gerettet;nach_slm_abbruch_und_neustart_gerettet;final_fehlgeschlagen;reparaturversuche;thinking_wiederholungen;timeouts;modellneustarts;vollstaendige_runs_ohne_schutz;vollstaendige_runs_final
gemma4:e4b;162;81;155;74;74;0;7;197;0;0;0;0;18
qwen3.5:4b;162;53;142;89;77;36;20;126;106;22;120;0;8
qwen3.5:9b;162;109;158;49;29;26;4;31;50;9;55;2;20
Gesamt;486;243;455;212;180;62;31;354;156;31;175;2;46
